date,portfolio_returns
2010-07-26,-0.013951328914130312
2010-07-27,-0.008195039380469948
2010-07-28,-0.0007353788042072651
2010-07-29,0.0
2010-07-30,-0.0032600231553165937
2010-08-02,-0.003175819878936559
2010-08-03,0.0
2010-08-04,0.0
2010-08-05,-0.009486426083460064
2010-08-06,0.0
2010-08-09,0.0
2010-08-10,-0.001953536526290045
2010-08-11,-0.014953319124805797
2010-08-12,-0.015149973158056662
2010-08-13,-0.003197764911426537
2010-08-16,0.0
2010-08-17,0.0
2010-08-18,0.0
2010-08-19,0.0
2010-08-20,0.0
2010-08-23,0.0
2010-08-24,0.0
2010-08-25,-0.024599744830767656
2010-08-26,-0.04205382945654268
2010-08-27,-0.03829673348549589
2010-08-30,-0.043306873201655716
2010-08-31,-0.07795290376913422
2010-09-01,-0.0685188250035681
2010-09-02,-0.06525544953823081
2010-09-03,-0.049771721482569586
2010-09-06,-0.03745594480577763
2010-09-07,-0.041153127350843755
2010-09-08,-0.044844306603155415
2010-09-09,-0.04671964390076655
2010-09-10,-0.04301927187001031
2010-09-13,-0.03572185848608367
2010-09-14,-0.03356161580788697
2010-09-15,-0.029408411985816008
2010-09-16,-0.03093319850511378
2010-09-17,-0.023893636370352134
2010-09-20,-0.022847340205215505
2010-09-21,-0.020943851615148668
2010-09-23,-0.01954505197117773
2010-09-24,-0.0235023490111137
2010-09-27,-0.025723334408693233
2010-09-28,-0.0252758533973938
2010-09-29,-0.022515587696765538
2010-09-30,-0.023009482058352404
2010-10-01,-0.029087341257922228
2010-10-04,-0.024807145826217125
2010-10-05,-0.029019906824455766
2010-10-06,-0.019280896694241156
2010-10-07,-0.02073621289320937
2010-10-08,-0.028310577812339033
2010-10-11,-0.037605063754819645
2010-10-12,-0.045526804165768486
2010-10-13,-0.03940456677533399
2010-10-14,-0.030370481233836566
2010-10-15,-0.03322710783727201
2010-10-18,-0.05033185995681788
2010-10-19,-0.05368022779683013
2010-10-20,-0.044261642333880635
2010-10-21,-0.04337973247574978
2010-10-22,-0.04022955464280553
2010-10-25,-0.0366338838087964
2010-10-26,-0.03264982426432805
2010-10-27,-0.03573357212553174
2010-10-28,-0.039364288685906024
2010-10-29,-0.045623919734452234
2010-11-01,-0.05659644802092956
2010-11-02,-0.06951169173540284
2010-11-03,-0.0903475207304989
2010-11-04,-0.08012300828230323
2010-11-05,-0.06921071014170299
2010-11-08,-0.06711969250386485
2010-11-09,-0.06299366583882493
2010-11-10,-0.061554126356616945
2010-11-11,-0.055180562231958
2010-11-12,-0.06185869669695743
2010-11-15,-0.07826956731976342
2010-11-16,-0.07556176379582247
2010-11-17,-0.07571019184878014
2010-11-18,-0.07135190973154348
2010-11-19,-0.07052625969423132
2010-11-22,-0.06336623809930886
2010-11-23,-0.0668398887411118
2010-11-24,-0.0699986877568245
2010-11-25,-0.06710285926035153
2010-11-26,-0.07316658822730115
2010-11-29,-0.058720809455119816
2010-11-30,-0.050821446117750524
2010-12-01,-0.04230105090038139
2010-12-02,-0.04283279435869114
2010-12-03,-0.04253781777257126
2010-12-06,-0.03747904365990218
2010-12-07,-0.03376846616821816
2010-12-08,-0.03450586671240574
2010-12-09,-0.030734408963458137
